2026-06-21 16:25 | Livello Fisso | Corrette: 20 | Sbagliate: 0 | Pool A: [6,7] | Pool B: [4,5,6,7,8,9] | Domande: 20/20 | Tempo medio: 4.2s
2026-06-21 16:30 | Livello Fisso | Corrette: 18 | Sbagliate: 2 | Pool A: [6,7,8] | Pool B: [3,4,5,6,7,8,9] | Domande: 20/20 | Tempo medio: 5.7s
2026-06-21 16:32 | Livello Fisso | Corrette: 19 | Sbagliate: 1 | Pool A: [6,7,8] | Pool B: [3,4,5,6,7,8,9] | Domande: 20/20 | Tempo medio: 4.3s
2026-06-21 16:37 | Livello Fisso | Corrette: 20 | Sbagliate: 0 | Pool A: [6,7,8] | Pool B: [3,4,5,6,7,8,9] | Domande: 20/20 | Tempo medio: 3.2s
2026-06-21 16:45 | Livello Fisso | Corrette: 5 | Sbagliate: 0 | Pool A: [0,1,2,3,4,5,6,7,8,9] | Pool B: [0,1,2,3,4,5,6,7,8,9] | Domande: 5/5 | Tempo medio: 4.2s
2026-06-21 16:54 | Livello Fisso | Corrette: 4 | Sbagliate: 1 | Pool A: [0,1,2,3,4,5,6,7,8,9] | Pool B: [0,1,2,3,4,5,6,7,8,9] | Domande: 5/5 | Tempo medio: 3.8s
2026-06-26 11:26 | Livello Fisso | Corrette: 9 | Sbagliate: 1 | Pool A: [5,6,7] | Pool B: [3,4,5,6,7,8,9] | Domande: 10/10 | Tempo medio: 4.1s
2026-06-26 11:28 | Livello Fisso | Corrette: 10 | Sbagliate: 0 | Pool A: [5,6,7,8] | Pool B: [3,4,5,6,7,8,9] | Domande: 10/10 | Tempo medio: 4.3s
2026-06-26 11:39 | Livello Fisso | Corrette: 13 | Sbagliate: 2 | Pool A: [7,8,9] | Pool B: [4,5,6,7,8,9] | Domande: 15/15 | Tempo medio: 6.4s
2026-06-26 11:40 | Livello Fisso | Corrette: 15 | Sbagliate: 0 | Pool A: [7,8,9] | Pool B: [5,6,7,8,9] | Domande: 15/15 | Tempo medio: 4.3s
2026-06-26 11:44 | Livello Fisso | Corrette: 15 | Sbagliate: 0 | Pool A: [7,8,9] | Pool B: [6,7,8,9] | Domande: 15/15 | Tempo medio: 4.4s
2026-06-26 11:56 | Livello Fisso | Corrette: 0 | Sbagliate: 3 | Pool A: [0,1,2,3,4,5,6,7,8,9] | Pool B: [0,1,2,3,4,5,6,7,8,9] | Domande: 3/10 | Tempo medio: 2.6s
2026-06-26 11:56 | Livello Fisso | Corrette: 1 | Sbagliate: 0 | Pool A: [0,1,2,3,4,5,6,7,8,9] | Pool B: [0,1,2,3,4,5,6,7,8,9] | Domande: 1/1 | Tempo medio: 1.9s
